"COMPLICATION_ID","PROVIDER_ID","HOSPITAL_NAME","ADDRESS","CITY","STATE","ZIP_CODE","COUNTY","PHONE_NUMBER","MEASURE_NAME","MEASURE_ID","COMPARED_TO_NATIONAL","DENOMINATOR","SCORE","LOWER_ESTIMATE","HIGHER_ESTIMATE","FOOTNOTE","MEASURE_START_DT","MEASURE_END_DT"
12,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"246","3","1.9","4.5",,2012-04-01 00:00:00.000,2023-08-29 19:19:47.000
13,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"1350","5.63","2.29","8.96",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
14,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"45","9.18","1.25","17.1",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
15,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"142","2.11","0","4.33",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
16,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"7910","1.25","0.32","2.19",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
17,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"2764","0.14","0","0.96",,2013-07-01 00:00:00.000,2023-08-29 19:19:48.000
18,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,"51","179.05","129.83","228.27",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
19,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"7626","0.47","0.18","0.75",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
34,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,"1 - The number of cases/patients is too few to report.",2012-04-01 00:00:00.000,2023-08-29 19:19:49.000
22,"10005",MARSHALL MEDICAL CENTER SOUTH,"2505 U S HIGHWAY 431 NORTH",BOAZ,AL,"35957",MARSHALL,"2565938310",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.85","0.53","1.17",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
23,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"370","3.8","2.6","5.7",,2012-04-01 00:00:00.000,2023-08-29 19:19:48.000
24,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"2777","3.85","1.21","6.49",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
25,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,Not Available,"7 - No cases met the criteria for this measure.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
26,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"252","2.5","0.33","4.66",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
27,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"11791","1.93","1.2","2.65",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
28,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"4265","0.09","0","0.76",,2013-07-01 00:00:00.000,2023-08-29 19:19:49.000
29,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Worse than the National Rate,"117","198.33","156.46","240.2",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
30,"10006",ELIZA COFFEE MEMORIAL HOSPITAL,"205 MARENGO STREET",FLORENCE,AL,"35631",LAUDERDALE,"2567688400",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"11047","0.41","0.16","0.67",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
132,"10022",CHEROKEE MEDICAL CENTER,"400 NORTHWOOD DR",CENTRE,AL,"35960",CHEROKEE,"2569275531",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.85","0.37","1.33",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
133,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"464","2.1","1.4","3.2",,2012-04-01 00:00:00.000,2023-08-29 19:19:58.000
134,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Better than the National Rate,"3518","1.94","0","4.23",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
135,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"326","9.97","3.29","16.65",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
136,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"255","3","0.83","5.17",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
137,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"9010","1.09","0.36","1.82",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
138,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"2315","0.39","0","1.12",,2013-07-01 00:00:00.000,2023-08-29 19:19:58.000
139,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,"132","171.58","131.63","211.54",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
140,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"8747","0.32","0.07","0.57",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
143,"10023",BAPTIST MEDICAL CENTER SOUTH,"2105 EAST SOUTH BOULEVARD",MONTGOMERY,AL,"36116",MONTGOMERY,"3342882100",Serious complications,PSI_90_SAFETY,Better than the National Rate,Not Available,"0.59","0.34","0.83",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
144,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"353","2.1","1.3","3.4",,2012-04-01 00:00:00.000,2023-08-29 19:19:58.000
145,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"2658","3.01","0.45","5.56",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
146,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"460","11.66","5.71","17.61",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
147,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"250","2.01","0","4.18",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
148,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"9258","1.18","0.45","1.9",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
149,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Pressure sores,PSI_3_ULCER,Worse than the National Rate,"3353","1.83","1.17","2.49",,2013-07-01 00:00:00.000,2023-08-29 19:20:00.000
150,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,"124","169.43","128.03","210.84",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
151,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"8844","0.24","0","0.5",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
154,"10024",JACKSON HOSPITAL & CLINIC INC,"1725 PINE STREET",MONTGOMERY,AL,"36106",MONTGOMERY,"3342938000",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.77","0.52","1.02",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
155,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"627","3.4","2.4","4.8",,2012-04-01 00:00:00.000,2023-08-29 19:20:01.000
156,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"3579","4.5","2.17","6.84",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
157,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"926","8.54","2.97","14.12",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
158,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"415","2.37","0.26","4.49",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
159,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,Better than the National Rate,"11823","0.52","0","1.16",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
160,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"5596","0.23","0","0.79",,2013-07-01 00:00:00.000,2023-08-29 19:20:01.000
161,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,"109","149.67","108.66","190.69",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
162,"10029",EAST ALABAMA MEDICAL CENTER,"2000 PEPPERELL PARKWAY",OPELIKA,AL,"36801",LEE,"3347493411",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"11226","0.4","0.16","0.64",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
35,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"128","4.57","0","9.52",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
36,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"27","9.89","1.66","18.12",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
37,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,"1 - The number of cases/patients is too few to report.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
38,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"1448","1.2","0","2.57",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
39,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"460","0.35","0","1.66",,2013-07-01 00:00:00.000,2023-08-29 19:19:49.000
40,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,"1 - The number of cases/patients is too few to report.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
41,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"1403","0.4","0.07","0.72",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
47,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Blood stream infection after surgery,PSI_13_POST_SEPSIS,Not Available,Not Available,Not Available,Not Available,Not Available,"7 - No cases met the criteria for this measure.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
48,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,"1 - The number of cases/patients is too few to report.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
44,"10007",MIZELL MEMORIAL HOSPITAL,"702 N MAIN ST",OPP,AL,"36467",COVINGTON,"3344933541",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.79","0.33","1.25",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
45,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,Not Available,Not Available,Not Available,Not Available,Not Available,"5 - Results are not available for this reporting period.",2012-04-01 00:00:00.000,2023-08-29 19:19:50.000
46,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,"1 - The number of cases/patients is too few to report.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
49,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"466","1.41","0","2.89",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
50,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"143","0.45","0","1.93",,2013-07-01 00:00:00.000,2023-08-29 19:19:51.000
51,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,Not Available,Not Available,Not Available,Not Available,Not Available,"7 - No cases met the criteria for this measure.",2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
52,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"434","0.41","0.08","0.73",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
56,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"292","3.7","2.5","5.4",,2012-04-01 00:00:00.000,2023-08-29 19:19:51.000
57,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"2309","7.18","4.38","9.98",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
55,"10008",CRENSHAW COMMUNITY HOSPITAL,"101 HOSPITAL CIRCLE",LUVERNE,AL,"36049",CRENSHAW,"3343353374",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.9","0.4","1.4",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
58,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"365","9.66","3.09","16.24",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
59,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"249","2.51","0.34","4.69",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
60,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Accidental cuts and tears from medical treatment,PSI_15_ACC_LAC,No Different than the National Rate,"8218","1.54","0.83","2.26",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
61,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Pressure sores,PSI_3_ULCER,No Different than the National Rate,"3265","0.1","0","0.8",,2013-07-01 00:00:00.000,2023-08-29 19:19:51.000
62,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Deaths among Patients with Serious Treatable Complications after Surgery,PSI_4_SURG_COMP,No Different than the National Rate,"114","157.92","115.32","200.51",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
63,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Collapsed lung due to medical treatment,PSI_6_IAT_PTX,No Different than the National Rate,"7795","0.31","0.04","0.57",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
66,"10011",ST VINCENT'S EAST,"50 MEDICAL PARK EAST DRIVE",BIRMINGHAM,AL,"35235",JEFFERSON,"2058383122",Serious complications,PSI_90_SAFETY,No Different than the National Rate,Not Available,"0.99","0.73","1.25",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
67,"10012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DE KALB,"2568453150",Rate of complications for hip/knee replacement patients,COMP_HIP_KNEE,No Different than the National Rate,"29","2.8","1.6","4.8",,2012-04-01 00:00:00.000,2023-08-29 19:19:51.000
68,"10012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DE KALB,"2568453150",Serious blood clots after surgery,PSI_12_POSTOP_PULMEMB_DVT,No Different than the National Rate,"303","4.92","0.32","9.52",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
69,"10012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DE KALB,"2568453150",Blood stream infection after surgery,PSI_13_POST_SEPSIS,No Different than the National Rate,"51","11.78","4.07","19.5",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
70,"10012",DEKALB REGIONAL MEDICAL CENTER,"200 MED CENTER DRIVE",FORT PAYNE,AL,"35968",DE KALB,"2568453150",A wound that splits open  after surgery on the abdomen or pelvis,PSI_14_POSTOP_DEHIS,No Different than the National Rate,"65","2.23","0","4.52",,2013-07-01 00:00:00.000,2015-06-30 00:00:00.000
