ID,Name,HospitalID,Type
2-27,T-27,2,treatment
2-29,A-29,2,assessment
2-77,A-77,2,assessment
2-61,T-61,2,treatment
2-40,T-40,2,treatment
2-41,A-41,2,assessment
2-73,A-73,2,assessment
2-05,A-05,2,assessment
2-95,A-95,2,assessment
2-62,A-62,2,assessment
2-93,A-93,2,assessment
2-71,A-71,2,assessment
2-17,A-17,2,assessment
2-06,A-06,2,assessment
2-83,A-83,2,assessment
2-15,T-15,2,treatment
2-72,T-72,2,treatment
2-01,A-01,2,assessment
2-30,T-30,2,treatment
2-57,T-57,2,treatment
2-06,A-06,2,assessment
2-46,T-46,2,treatment
2-34,T-34,2,treatment
2-25,T-25,2,treatment
2-81,A-81,2,assessment
2-11,A-11,2,assessment
2-76,A-76,2,assessment
2-62,A-62,2,assessment
2-98,A-98,2,assessment
2-35,T-35,2,treatment
2-06,T-06,2,treatment
2-56,A-56,2,assessment
2-49,T-49,2,treatment
2-32,A-32,2,assessment
2-100,A-100,2,assessment
2-81,T-81,2,treatment
2-28,T-28,2,treatment
2-96,A-96,2,assessment
3-90,T-90,3,treatment
3-04,T-04,3,treatment
3-28,A-28,3,assessment
3-16,A-16,3,assessment
3-40,A-40,3,assessment
3-61,T-61,3,treatment
3-43,T-43,3,treatment
3-76,T-76,3,treatment
3-18,A-18,3,assessment
3-63,A-63,3,assessment
3-09,A-09,3,assessment
3-50,A-50,3,assessment
3-21,A-21,3,assessment
3-38,T-38,3,treatment
3-63,A-63,3,assessment
3-100,T-100,3,treatment
3-43,A-43,3,assessment
3-87,T-87,3,treatment
3-15,A-15,3,assessment
3-05,A-05,3,assessment
3-09,T-09,3,treatment
3-83,T-83,3,treatment
3-45,A-45,3,assessment
3-30,T-30,3,treatment
3-62,A-62,3,assessment
3-41,A-41,3,assessment
3-09,A-09,3,assessment
3-67,T-67,3,treatment
3-11,A-11,3,assessment
3-05,A-05,3,assessment
3-38,A-38,3,assessment
3-90,T-90,3,treatment
3-54,A-54,3,assessment
3-84,A-84,3,assessment
3-04,A-04,3,assessment
3-94,A-94,3,assessment
3-74,T-74,3,treatment
3-67,A-67,3,assessment
3-20,A-20,3,assessment
3-12,T-12,3,treatment
3-19,A-19,3,assessment
3-98,T-98,3,treatment
3-21,T-21,3,treatment
3-73,T-73,3,treatment
3-91,A-91,3,assessment
3-81,A-81,3,assessment
3-37,A-37,3,assessment
3-47,A-47,3,assessment
3-41,A-41,3,assessment
3-17,T-17,3,treatment
3-51,A-51,3,assessment
3-45,T-45,3,treatment
3-60,T-60,3,treatment
3-52,T-52,3,treatment
3-28,A-28,3,assessment
3-04,T-04,3,treatment
3-100,T-100,3,treatment
3-68,A-68,3,assessment
3-90,A-90,3,assessment
3-77,T-77,3,treatment
3-47,T-47,3,treatment
3-35,A-35,3,assessment
3-08,A-08,3,assessment
3-53,T-53,3,treatment
3-58,T-58,3,treatment
3-47,T-47,3,treatment
3-80,A-80,3,assessment
3-93,T-93,3,treatment
3-54,T-54,3,treatment
3-84,A-84,3,assessment
3-22,A-22,3,assessment
3-31,T-31,3,treatment
3-12,T-12,3,treatment
3-07,A-07,3,assessment
4-51,A-51,4,assessment
4-52,T-52,4,treatment
4-16,T-16,4,treatment
4-09,T-09,4,treatment
4-51,T-51,4,treatment
4-100,T-100,4,treatment
4-12,A-12,4,assessment
4-23,T-23,4,treatment
4-64,T-64,4,treatment
4-29,T-29,4,treatment
4-12,T-12,4,treatment
4-43,A-43,4,assessment
4-45,T-45,4,treatment
4-98,A-98,4,assessment
4-73,T-73,4,treatment
4-78,T-78,4,treatment
4-97,T-97,4,treatment
4-48,A-48,4,assessment
4-47,A-47,4,assessment
4-03,A-03,4,assessment
4-59,T-59,4,treatment
4-54,A-54,4,assessment
4-98,T-98,4,treatment
4-10,A-10,4,assessment
4-12,T-12,4,treatment
4-66,T-66,4,treatment
4-41,T-41,4,treatment
4-06,A-06,4,assessment
4-74,T-74,4,treatment
4-04,A-04,4,assessment
4-15,T-15,4,treatment
4-56,T-56,4,treatment
4-33,A-33,4,assessment
4-70,A-70,4,assessment
4-50,A-50,4,assessment
4-36,T-36,4,treatment
4-82,T-82,4,treatment
4-56,A-56,4,assessment
4-43,T-43,4,treatment
4-10,A-10,4,assessment
4-74,T-74,4,treatment
4-61,T-61,4,treatment
4-24,T-24,4,treatment
4-76,A-76,4,assessment
4-79,T-79,4,treatment
4-93,A-93,4,assessment
4-12,A-12,4,assessment
4-01,A-01,4,assessment
4-03,A-03,4,assessment
4-40,T-40,4,treatment
4-97,T-97,4,treatment
4-71,A-71,4,assessment
4-02,T-02,4,treatment
4-31,T-31,4,treatment
4-66,T-66,4,treatment
4-11,A-11,4,assessment
4-04,T-04,4,treatment
4-14,T-14,4,treatment
4-55,T-55,4,treatment
4-27,T-27,4,treatment
4-72,A-72,4,assessment
4-49,A-49,4,assessment
5-49,A-49,5,assessment
5-34,T-34,5,treatment
5-49,A-49,5,assessment
5-99,T-99,5,treatment
5-29,A-29,5,assessment
5-74,T-74,5,treatment
5-02,A-02,5,assessment
5-30,T-30,5,treatment
5-91,A-91,5,assessment
5-59,T-59,5,treatment
5-64,A-64,5,assessment
5-37,A-37,5,assessment
5-79,T-79,5,treatment
5-95,T-95,5,treatment
5-27,T-27,5,treatment
5-30,A-30,5,assessment
5-80,A-80,5,assessment
5-48,T-48,5,treatment
5-39,A-39,5,assessment
5-67,A-67,5,assessment
5-10,T-10,5,treatment
5-48,A-48,5,assessment
5-80,T-80,5,treatment
5-99,A-99,5,assessment
5-07,A-07,5,assessment
5-37,A-37,5,assessment
5-31,A-31,5,assessment
5-52,T-52,5,treatment
5-08,A-08,5,assessment
5-84,T-84,5,treatment
5-100,A-100,5,assessment
5-23,A-23,5,assessment
5-16,A-16,5,assessment
5-46,A-46,5,assessment
5-48,A-48,5,assessment
5-84,A-84,5,assessment
5-81,T-81,5,treatment
5-25,A-25,5,assessment
5-77,T-77,5,treatment
5-16,A-16,5,assessment
5-89,A-89,5,assessment
5-02,T-02,5,treatment
5-38,A-38,5,assessment
5-72,A-72,5,assessment
5-45,A-45,5,assessment
5-09,T-09,5,treatment
5-55,A-55,5,assessment
5-51,T-51,5,treatment
5-53,T-53,5,treatment
5-28,A-28,5,assessment
5-60,A-60,5,assessment
5-21,T-21,5,treatment
5-94,A-94,5,assessment
5-35,A-35,5,assessment
5-38,T-38,5,treatment
5-77,T-77,5,treatment
5-26,A-26,5,assessment
5-56,T-56,5,treatment
5-95,T-95,5,treatment
6-05,T-05,6,treatment
6-22,T-22,6,treatment
6-31,A-31,6,assessment
6-74,A-74,6,assessment
6-48,A-48,6,assessment
6-28,A-28,6,assessment
6-91,T-91,6,treatment
6-95,A-95,6,assessment
6-76,T-76,6,treatment
6-66,T-66,6,treatment
6-91,A-91,6,assessment
6-77,A-77,6,assessment
6-76,T-76,6,treatment
6-97,T-97,6,treatment
6-76,A-76,6,assessment
6-02,T-02,6,treatment
6-82,T-82,6,treatment
6-99,A-99,6,assessment
6-11,T-11,6,treatment
6-65,A-65,6,assessment
6-29,T-29,6,treatment
6-35,T-35,6,treatment
6-93,A-93,6,assessment
6-89,A-89,6,assessment
6-65,A-65,6,assessment
6-78,A-78,6,assessment
6-97,A-97,6,assessment
6-51,A-51,6,assessment
6-89,T-89,6,treatment
6-69,A-69,6,assessment
6-81,A-81,6,assessment
6-42,A-42,6,assessment
6-54,T-54,6,treatment
6-79,T-79,6,treatment
6-26,A-26,6,assessment
6-14,T-14,6,treatment
6-50,T-50,6,treatment
6-31,T-31,6,treatment
6-11,A-11,6,assessment
6-83,T-83,6,treatment
6-40,T-40,6,treatment
6-31,T-31,6,treatment
6-97,T-97,6,treatment
6-91,A-91,6,assessment
6-12,A-12,6,assessment
6-01,T-01,6,treatment
6-96,T-96,6,treatment
6-28,A-28,6,assessment
6-56,T-56,6,treatment
6-09,A-09,6,assessment
6-13,A-13,6,assessment
6-08,A-08,6,assessment
6-46,T-46,6,treatment
6-44,A-44,6,assessment
6-12,T-12,6,treatment
7-44,A-44,7,assessment
7-91,A-91,7,assessment
7-34,A-34,7,assessment
7-28,A-28,7,assessment
7-12,T-12,7,treatment
7-42,T-42,7,treatment
7-28,T-28,7,treatment
7-62,T-62,7,treatment
7-88,A-88,7,assessment
7-42,T-42,7,treatment
7-16,A-16,7,assessment
7-78,A-78,7,assessment
7-35,A-35,7,assessment
7-12,T-12,7,treatment
7-71,T-71,7,treatment
7-95,A-95,7,assessment
7-23,T-23,7,treatment
7-08,T-08,7,treatment
7-74,A-74,7,assessment
7-23,T-23,7,treatment
7-36,A-36,7,assessment
7-90,A-90,7,assessment
7-25,T-25,7,treatment
7-53,T-53,7,treatment
7-01,T-01,7,treatment
7-08,T-08,7,treatment
7-76,A-76,7,assessment
7-28,A-28,7,assessment
7-67,T-67,7,treatment
7-07,T-07,7,treatment
7-82,T-82,7,treatment
7-57,A-57,7,assessment
7-69,A-69,7,assessment
7-74,A-74,7,assessment
7-04,A-04,7,assessment
7-45,A-45,7,assessment
7-93,T-93,7,treatment
7-60,A-60,7,assessment
7-80,T-80,7,treatment
7-39,A-39,7,assessment
7-32,T-32,7,treatment
7-21,A-21,7,assessment
7-71,A-71,7,assessment
7-38,A-38,7,assessment
7-06,T-06,7,treatment
7-53,A-53,7,assessment
7-87,A-87,7,assessment
7-74,A-74,7,assessment
7-25,T-25,7,treatment
7-90,T-90,7,treatment
7-61,T-61,7,treatment
7-29,A-29,7,assessment
7-43,T-43,7,treatment
7-64,T-64,7,treatment
7-21,A-21,7,assessment
8-36,T-36,8,treatment
8-41,T-41,8,treatment
8-03,A-03,8,assessment
8-92,A-92,8,assessment
8-42,T-42,8,treatment
8-65,T-65,8,treatment
8-91,T-91,8,treatment
8-61,A-61,8,assessment
8-72,A-72,8,assessment
8-37,T-37,8,treatment
8-100,T-100,8,treatment
8-76,T-76,8,treatment
8-16,A-16,8,assessment
8-49,A-49,8,assessment
8-36,T-36,8,treatment
8-41,T-41,8,treatment
8-85,T-85,8,treatment
8-32,T-32,8,treatment
8-91,T-91,8,treatment
8-53,T-53,8,treatment
8-36,A-36,8,assessment
8-89,T-89,8,treatment
8-87,T-87,8,treatment
8-21,T-21,8,treatment
8-60,A-60,8,assessment
8-53,T-53,8,treatment
8-62,T-62,8,treatment
8-11,A-11,8,assessment
8-07,T-07,8,treatment
8-56,T-56,8,treatment
8-75,T-75,8,treatment
8-01,A-01,8,assessment
8-16,T-16,8,treatment
8-53,A-53,8,assessment
8-59,T-59,8,treatment
8-21,A-21,8,assessment
8-62,T-62,8,treatment
8-87,A-87,8,assessment
8-13,A-13,8,assessment
8-52,A-52,8,assessment
8-21,A-21,8,assessment
8-70,T-70,8,treatment
8-40,T-40,8,treatment
8-72,A-72,8,assessment
8-88,T-88,8,treatment
8-87,T-87,8,treatment
8-47,A-47,8,assessment
8-76,T-76,8,treatment
8-21,T-21,8,treatment
8-83,A-83,8,assessment
8-04,A-04,8,assessment
8-100,T-100,8,treatment
8-63,T-63,8,treatment
9-59,T-59,9,treatment
9-33,A-33,9,assessment
9-92,A-92,9,assessment
9-41,A-41,9,assessment
9-66,T-66,9,treatment
9-07,A-07,9,assessment
9-66,A-66,9,assessment
9-12,T-12,9,treatment
9-78,A-78,9,assessment
9-59,A-59,9,assessment
9-47,A-47,9,assessment
9-88,A-88,9,assessment
9-05,T-05,9,treatment
9-10,A-10,9,assessment
9-65,A-65,9,assessment
9-16,T-16,9,treatment
9-02,T-02,9,treatment
9-19,A-19,9,assessment
9-70,T-70,9,treatment
9-98,A-98,9,assessment
9-58,T-58,9,treatment
9-35,T-35,9,treatment
9-07,T-07,9,treatment
9-04,T-04,9,treatment
9-81,T-81,9,treatment
9-93,A-93,9,assessment
9-24,A-24,9,assessment
9-74,T-74,9,treatment
9-50,A-50,9,assessment
9-62,A-62,9,assessment
9-24,T-24,9,treatment
9-54,A-54,9,assessment
9-42,A-42,9,assessment
9-58,A-58,9,assessment
9-35,A-35,9,assessment
9-47,A-47,9,assessment
9-87,A-87,9,assessment
9-44,T-44,9,treatment
9-36,A-36,9,assessment
9-11,A-11,9,assessment
9-02,T-02,9,treatment
9-36,A-36,9,assessment
9-36,T-36,9,treatment
9-02,A-02,9,assessment
9-01,T-01,9,treatment
9-06,T-06,9,treatment
9-31,T-31,9,treatment
9-100,A-100,9,assessment
9-72,A-72,9,assessment
9-15,A-15,9,assessment
9-68,A-68,9,assessment
9-91,A-91,9,assessment
9-65,T-65,9,treatment
9-98,A-98,9,assessment
9-04,A-04,9,assessment
9-58,T-58,9,treatment
9-45,T-45,9,treatment
9-81,T-81,9,treatment
9-22,T-22,9,treatment
9-56,A-56,9,assessment
9-73,A-73,9,assessment
9-69,A-69,9,assessment
9-53,T-53,9,treatment
9-74,A-74,9,assessment
9-03,A-03,9,assessment
9-39,T-39,9,treatment
9-66,A-66,9,assessment
9-99,A-99,9,assessment
9-83,T-83,9,treatment
10-39,A-39,10,assessment
10-80,A-80,10,assessment
10-11,T-11,10,treatment
10-92,T-92,10,treatment
10-56,T-56,10,treatment
10-94,A-94,10,assessment
10-38,A-38,10,assessment
10-14,A-14,10,assessment
10-14,T-14,10,treatment
10-18,T-18,10,treatment
10-47,T-47,10,treatment
10-26,A-26,10,assessment
10-67,A-67,10,assessment
10-47,T-47,10,treatment
10-21,A-21,10,assessment
10-29,T-29,10,treatment
10-03,T-03,10,treatment
10-21,T-21,10,treatment
10-63,T-63,10,treatment
10-76,A-76,10,assessment
10-94,T-94,10,treatment
10-13,T-13,10,treatment
10-10,A-10,10,assessment
10-46,T-46,10,treatment
10-53,A-53,10,assessment
10-07,T-07,10,treatment
10-03,T-03,10,treatment
10-48,A-48,10,assessment
10-38,A-38,10,assessment
10-77,T-77,10,treatment
10-12,A-12,10,assessment
10-92,T-92,10,treatment
10-83,T-83,10,treatment
10-14,A-14,10,assessment
10-65,A-65,10,assessment
10-87,A-87,10,assessment
10-63,A-63,10,assessment
10-17,A-17,10,assessment
10-01,A-01,10,assessment
10-75,T-75,10,treatment
10-49,T-49,10,treatment
10-32,T-32,10,treatment
10-33,A-33,10,assessment
10-72,T-72,10,treatment
10-54,T-54,10,treatment
10-25,A-25,10,assessment
10-85,A-85,10,assessment
10-31,A-31,10,assessment
10-65,A-65,10,assessment
10-89,T-89,10,treatment
10-65,T-65,10,treatment
10-98,T-98,10,treatment
10-19,A-19,10,assessment
10-26,A-26,10,assessment
10-28,A-28,10,assessment
10-32,T-32,10,treatment
10-74,A-74,10,assessment
10-60,A-60,10,assessment
10-55,A-55,10,assessment
10-39,A-39,10,assessment
10-15,T-15,10,treatment
10-62,A-62,10,assessment
11-54,A-54,11,assessment
11-04,T-04,11,treatment
11-52,T-52,11,treatment
11-03,T-03,11,treatment
11-26,T-26,11,treatment
11-64,A-64,11,assessment
11-63,T-63,11,treatment
11-60,A-60,11,assessment
11-89,T-89,11,treatment
11-35,T-35,11,treatment
11-21,A-21,11,assessment
11-68,A-68,11,assessment
11-88,A-88,11,assessment
11-44,T-44,11,treatment
11-68,A-68,11,assessment
11-32,A-32,11,assessment
11-45,T-45,11,treatment
11-27,A-27,11,assessment
11-97,A-97,11,assessment
11-14,T-14,11,treatment
11-86,A-86,11,assessment
11-55,T-55,11,treatment
11-79,A-79,11,assessment
11-77,T-77,11,treatment
11-40,A-40,11,assessment
11-16,T-16,11,treatment
11-84,A-84,11,assessment
11-01,A-01,11,assessment
11-52,A-52,11,assessment
11-24,T-24,11,treatment
11-73,T-73,11,treatment
11-50,T-50,11,treatment
11-57,A-57,11,assessment
11-40,T-40,11,treatment
11-35,T-35,11,treatment
11-66,A-66,11,assessment
11-28,A-28,11,assessment
11-100,A-100,11,assessment
11-81,A-81,11,assessment
11-53,T-53,11,treatment
11-77,T-77,11,treatment
11-82,T-82,11,treatment
11-19,A-19,11,assessment
11-57,A-57,11,assessment
11-73,T-73,11,treatment
11-77,T-77,11,treatment
11-18,T-18,11,treatment
11-44,A-44,11,assessment
11-65,A-65,11,assessment
11-85,T-85,11,treatment
11-57,A-57,11,assessment
11-67,A-67,11,assessment
11-53,A-53,11,assessment
11-72,A-72,11,assessment
11-23,A-23,11,assessment
11-60,A-60,11,assessment
11-85,A-85,11,assessment
11-67,A-67,11,assessment
11-82,T-82,11,treatment
11-79,A-79,11,assessment
11-86,T-86,11,treatment
11-61,A-61,11,assessment
11-04,T-04,11,treatment
11-60,A-60,11,assessment
11-92,T-92,11,treatment
11-46,T-46,11,treatment
11-66,T-66,11,treatment
11-77,T-77,11,treatment
11-34,A-34,11,assessment
11-76,T-76,11,treatment
12-52,A-52,12,assessment
12-79,T-79,12,treatment
12-93,A-93,12,assessment
12-48,T-48,12,treatment
12-87,T-87,12,treatment
12-52,A-52,12,assessment
12-05,T-05,12,treatment
12-03,A-03,12,assessment
12-63,A-63,12,assessment
12-65,A-65,12,assessment
12-65,T-65,12,treatment
12-55,A-55,12,assessment
12-43,A-43,12,assessment
12-50,A-50,12,assessment
12-46,T-46,12,treatment
12-83,T-83,12,treatment
12-56,A-56,12,assessment
12-03,A-03,12,assessment
12-84,A-84,12,assessment
12-47,T-47,12,treatment
12-63,T-63,12,treatment
12-41,T-41,12,treatment
12-68,A-68,12,assessment
12-24,A-24,12,assessment
12-69,T-69,12,treatment
12-99,T-99,12,treatment
12-36,A-36,12,assessment
12-24,T-24,12,treatment
12-47,A-47,12,assessment
12-06,T-06,12,treatment
12-63,T-63,12,treatment
12-43,T-43,12,treatment
12-71,A-71,12,assessment
12-96,T-96,12,treatment
12-71,T-71,12,treatment
12-44,A-44,12,assessment
12-61,T-61,12,treatment
12-49,T-49,12,treatment
12-92,T-92,12,treatment
12-75,T-75,12,treatment
12-46,T-46,12,treatment
12-69,T-69,12,treatment
12-09,A-09,12,assessment
12-36,T-36,12,treatment
12-38,A-38,12,assessment
12-35,T-35,12,treatment
12-35,A-35,12,assessment
12-57,T-57,12,treatment
12-29,A-29,12,assessment
12-54,A-54,12,assessment
12-77,T-77,12,treatment
12-66,A-66,12,assessment
12-55,A-55,12,assessment
13-64,T-64,13,treatment
13-73,T-73,13,treatment
13-47,A-47,13,assessment
13-90,A-90,13,assessment
13-01,A-01,13,assessment
13-15,A-15,13,assessment
13-99,T-99,13,treatment
13-61,T-61,13,treatment
13-66,T-66,13,treatment
13-69,T-69,13,treatment
13-89,T-89,13,treatment
13-43,T-43,13,treatment
13-15,A-15,13,assessment
13-08,T-08,13,treatment
13-61,T-61,13,treatment
13-86,T-86,13,treatment
13-13,T-13,13,treatment
13-96,T-96,13,treatment
13-57,A-57,13,assessment
13-05,T-05,13,treatment
13-58,A-58,13,assessment
13-85,T-85,13,treatment
13-95,T-95,13,treatment
13-100,T-100,13,treatment
13-42,A-42,13,assessment
13-33,A-33,13,assessment
13-06,A-06,13,assessment
13-27,T-27,13,treatment
13-66,A-66,13,assessment
13-87,T-87,13,treatment
13-78,T-78,13,treatment
13-50,A-50,13,assessment
13-50,T-50,13,treatment
13-21,T-21,13,treatment
13-15,T-15,13,treatment
13-50,T-50,13,treatment
13-60,T-60,13,treatment
13-83,T-83,13,treatment
13-26,A-26,13,assessment
13-76,T-76,13,treatment
13-41,A-41,13,assessment
13-04,A-04,13,assessment
13-89,T-89,13,treatment
13-80,A-80,13,assessment
13-48,A-48,13,assessment
14-31,A-31,14,assessment
14-37,A-37,14,assessment
14-59,T-59,14,treatment
14-09,A-09,14,assessment
14-75,A-75,14,assessment
14-78,A-78,14,assessment
14-22,A-22,14,assessment
14-54,T-54,14,treatment
14-32,A-32,14,assessment
14-87,A-87,14,assessment
14-35,T-35,14,treatment
14-22,T-22,14,treatment
14-100,A-100,14,assessment
14-99,T-99,14,treatment
14-25,A-25,14,assessment
14-82,T-82,14,treatment
14-54,T-54,14,treatment
14-09,A-09,14,assessment
14-83,T-83,14,treatment
14-58,T-58,14,treatment
14-13,A-13,14,assessment
14-48,T-48,14,treatment
14-22,T-22,14,treatment
14-01,A-01,14,assessment
14-74,A-74,14,assessment
14-59,T-59,14,treatment
14-91,A-91,14,assessment
14-96,T-96,14,treatment
14-23,A-23,14,assessment
14-32,T-32,14,treatment
14-37,A-37,14,assessment
14-05,T-05,14,treatment
14-27,A-27,14,assessment
14-63,T-63,14,treatment
14-42,T-42,14,treatment
14-89,T-89,14,treatment
14-43,T-43,14,treatment
14-40,T-40,14,treatment
14-65,A-65,14,assessment
14-65,T-65,14,treatment
14-90,A-90,14,assessment
14-73,A-73,14,assessment
14-49,T-49,14,treatment
14-52,T-52,14,treatment
14-19,T-19,14,treatment
14-38,T-38,14,treatment
14-34,A-34,14,assessment
14-58,T-58,14,treatment
14-70,A-70,14,assessment
14-91,A-91,14,assessment
14-34,T-34,14,treatment
14-98,T-98,14,treatment
14-46,A-46,14,assessment
14-68,T-68,14,treatment
14-56,T-56,14,treatment
14-43,A-43,14,assessment
14-34,A-34,14,assessment
14-37,T-37,14,treatment
14-92,A-92,14,assessment
15-85,A-85,15,assessment
15-15,A-15,15,assessment
15-99,A-99,15,assessment
15-89,A-89,15,assessment
15-33,A-33,15,assessment
15-07,A-07,15,assessment
15-71,A-71,15,assessment
15-27,T-27,15,treatment
15-39,T-39,15,treatment
15-100,T-100,15,treatment
15-08,A-08,15,assessment
15-06,T-06,15,treatment
15-58,T-58,15,treatment
15-65,A-65,15,assessment
15-19,A-19,15,assessment
15-73,A-73,15,assessment
15-18,A-18,15,assessment
15-52,A-52,15,assessment
15-25,T-25,15,treatment
15-63,T-63,15,treatment
15-14,A-14,15,assessment
15-58,T-58,15,treatment
15-32,T-32,15,treatment
15-83,A-83,15,assessment
15-51,T-51,15,treatment
15-62,T-62,15,treatment
15-50,T-50,15,treatment
15-57,A-57,15,assessment
15-08,T-08,15,treatment
15-44,T-44,15,treatment
15-90,T-90,15,treatment
15-20,A-20,15,assessment
15-33,T-33,15,treatment
15-69,A-69,15,assessment
15-99,A-99,15,assessment
15-47,A-47,15,assessment
15-51,A-51,15,assessment
15-72,T-72,15,treatment
15-44,T-44,15,treatment
15-85,A-85,15,assessment
15-29,T-29,15,treatment
15-66,A-66,15,assessment
15-69,T-69,15,treatment
15-46,T-46,15,treatment
15-15,T-15,15,treatment
15-01,A-01,15,assessment
15-41,T-41,15,treatment
15-75,T-75,15,treatment
15-30,T-30,15,treatment
15-99,A-99,15,assessment
15-45,T-45,15,treatment
15-76,A-76,15,assessment
16-40,A-40,16,assessment
16-77,A-77,16,assessment
16-52,A-52,16,assessment
16-77,T-77,16,treatment
16-03,A-03,16,assessment
16-03,A-03,16,assessment
16-55,A-55,16,assessment
16-22,A-22,16,assessment
16-41,T-41,16,treatment
16-96,A-96,16,assessment
16-56,T-56,16,treatment
16-94,A-94,16,assessment
16-24,A-24,16,assessment
16-84,A-84,16,assessment
16-24,T-24,16,treatment
16-86,A-86,16,assessment
16-45,T-45,16,treatment
16-32,T-32,16,treatment
16-33,T-33,16,treatment
16-59,T-59,16,treatment
16-87,A-87,16,assessment
16-43,T-43,16,treatment
16-21,T-21,16,treatment
16-95,A-95,16,assessment
16-20,T-20,16,treatment
16-65,T-65,16,treatment
16-19,A-19,16,assessment
16-68,A-68,16,assessment
16-06,T-06,16,treatment
16-42,A-42,16,assessment
16-90,T-90,16,treatment
16-94,A-94,16,assessment
16-69,A-69,16,assessment
16-05,T-05,16,treatment
16-28,A-28,16,assessment
16-66,T-66,16,treatment
16-06,A-06,16,assessment
16-03,T-03,16,treatment
16-58,A-58,16,assessment
16-70,A-70,16,assessment
16-54,A-54,16,assessment
16-95,A-95,16,assessment
16-68,A-68,16,assessment
16-76,T-76,16,treatment
16-95,T-95,16,treatment
16-83,A-83,16,assessment
16-89,A-89,16,assessment
16-79,A-79,16,assessment
16-41,T-41,16,treatment
16-29,T-29,16,treatment
16-16,A-16,16,assessment
16-23,T-23,16,treatment
16-39,T-39,16,treatment
16-97,A-97,16,assessment
16-71,A-71,16,assessment
16-37,T-37,16,treatment
17-99,T-99,17,treatment
17-52,T-52,17,treatment
17-84,T-84,17,treatment
17-46,T-46,17,treatment
17-34,T-34,17,treatment
17-31,T-31,17,treatment
17-80,A-80,17,assessment
17-57,A-57,17,assessment
17-55,T-55,17,treatment
17-10,T-10,17,treatment
17-63,A-63,17,assessment
17-01,A-01,17,assessment
17-12,T-12,17,treatment
17-90,T-90,17,treatment
17-19,A-19,17,assessment
17-93,T-93,17,treatment
17-46,A-46,17,assessment
17-78,T-78,17,treatment
17-47,T-47,17,treatment
17-08,T-08,17,treatment
17-33,A-33,17,assessment
17-21,A-21,17,assessment
17-02,T-02,17,treatment
17-100,T-100,17,treatment
17-14,T-14,17,treatment
17-38,A-38,17,assessment
17-96,T-96,17,treatment
17-61,A-61,17,assessment
17-34,A-34,17,assessment
17-58,T-58,17,treatment
17-25,A-25,17,assessment
17-18,A-18,17,assessment
17-78,T-78,17,treatment
17-34,A-34,17,assessment
17-73,A-73,17,assessment
17-74,T-74,17,treatment
17-100,A-100,17,assessment
17-75,A-75,17,assessment
17-23,T-23,17,treatment
17-99,T-99,17,treatment
17-03,A-03,17,assessment
17-74,T-74,17,treatment
17-81,A-81,17,assessment
17-35,A-35,17,assessment
17-46,A-46,17,assessment
17-63,A-63,17,assessment
17-50,A-50,17,assessment
17-82,T-82,17,treatment
17-26,T-26,17,treatment
17-82,A-82,17,assessment
17-15,T-15,17,treatment
