"PROVIDER_ID","HOSPITAL_NAME","ADDRESS","CITY","STATE","ZIP_CODE","COUNTY","PHONE_NUMBER"
"51312",MOUNTAINS COMMUNITY HOSPITAL,"29101 HOSPITAL ROAD",LAKE ARROWHEAD,CA,"92352",SAN BERNARDINO,"9093363651"
"60008",SAN LUIS VALLEY HEALTH,"106 BLANCA AVE",ALAMOSA,CO,"81101",ALAMOSA,"7195892511"
"53300",VALLEY CHILDREN'S HOSPITAL,"9300 VALLEY CHILDRENS PLACE",MADERA,CA,"93636",FRESNO,"5593535116"
"50278",PROVIDENCE HOLY CROSS MEDICAL CENTER,"15031 RINALDI ST",MISSION HILLS,CA,"91346",LOS ANGELES,"8183658051"
"50765",KAISER FOUNDATION HOSPITAL-MORENO VALLEY,"27300 IRIS AVENUE",MORENO VALLEY,CA,"92555",RIVERSIDE,"9512516000"
"61303",EAST MORGAN COUNTY HOSPITAL,"2400 W EDISON ST",BRUSH,CO,"80723",MORGAN,"9708426200"
"61313",KIT CARSON COUNTY MEMORIAL HOSPITAL,"286 16TH STREET",BURLINGTON,CO,"80807",KIT CARSON,"7193465311"
"50131",NOVATO COMMUNITY HOSPITAL,"180 ROWLAND WAY",NOVATO,CA,"94945",MARIN,"4152091300"
"60104",ST ANTHONY NORTH HEALTH CAMPUS,"14300 ORCHARD PARKWAY",WESTMINSTER,CO,"80023",BROOMFIELD,"3034303201"
"61305",MELISSA MEMORIAL HOSPITAL,"1001 E JOHNSON STREET",HOLYOKE,CO,"80734",PHILLIPS,"9708542241"
"50770",LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,"28062 BAXTER ROAD",MURRIETA,CA,"92563",RIVERSIDE,"9512904000"
"130003",ST JOSEPH REGIONAL MEDICAL CENTER,"415 SIXTH STREET",LEWISTON,ID,"83501",NEZ PERCE,"2087995300"
"100057",FLORIDA HOSPITAL WATERMAN,"1000 WATERMAN WAY",TAVARES,FL,"32778",LAKE,"3522533300"
"100151",MAYO CLINIC,"4500 SAN PABLO RD",JACKSONVILLE,FL,"32224",DUVAL,"9049532000"
"100040",ST VINCENT'S MEDICAL CENTER RIVERSIDE,"1 SHIRCLIFF WAY",JACKSONVILLE,FL,"32204",DUVAL,"9043087300"
"100242",GULF COAST REGIONAL MEDICAL CENTER,"449 W 23RD ST",PANAMA CITY,FL,"32405",BAY,"8507477926"
"100291",WUESTHOFF MEDICAL CENTER-MELBOURNE,"250 NORTH WICKHAM ROAD",MELBOURNE,FL,"32935",BREVARD,"3217521200"
"100206",MEMORIAL HOSPITAL OF TAMPA,"2901 W SWANN AVE",TAMPA,FL,"33609",HILLSBOROUGH,"8138736400"
"100266",GULF BREEZE HOSPITAL,"1110 GULF BREEZE PKWY",GULF BREEZE,FL,"32561",SANTA ROSA,"8509342000"
"100268",WEST BOCA MEDICAL CENTER,"21644 STATE RD 7",BOCA RATON,FL,"33428",PALM BEACH,"5614888000"
"100269",PALMS WEST HOSPITAL,"13001 SOUTHERN BLVD",LOXAHATCHEE,FL,"33470",PALM BEACH,"5617534245"
"100200",BROWARD HEALTH IMPERIAL POINT,"6401 N FEDERAL HWY",FORT LAUDERDALE,FL,"33308",BROWARD,"9547768500"
"100049",HIGHLANDS REGIONAL MEDICAL CENTER,"3600 S HIGHLANDS AVE",SEBRING,FL,"33870",HIGHLANDS,"8633856101"
"100249",SEVEN RIVERS REGIONAL MEDICAL CENTER,"6201 N SUNCOAST BLVD",CRYSTAL RIVER,FL,"34428",CITRUS,"3527956560"
"100135",TALLAHASSEE MEMORIAL HOSPITAL,"1300 MICCOSUKEE RD",TALLAHASSEE,FL,"32308",LEON,"8504311155"
"140213",SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,"1900 SILVER CROSS BLVD",NEW LENOX,IL,"60451",WILL,"8153001100"
"100022",JACKSON MEMORIAL HOSPITAL,"1611 NW 12TH AVE",MIAMI,FL,"33136",MIAMI-DADE,"3055851111"
"121308",KULA HOSPITAL,"100 KOKEA PLACE",KULA,HI,"96790",MAUI,"8088781221"
"100176",PALM BEACH GARDENS MEDICAL CENTER,"3360 BURNS RD",PALM BEACH GARDENS,FL,"33410",PALM BEACH,"5616221411"
"123301",SHRINERS HOSPITAL FOR CHILDREN,"1310 PUNAHOU STREET",HONOLULU,HI,"96826",HONOLULU,"8089414466"
"140001",GRAHAM HOSPITAL ASSOCIATION,"210 WEST WALNUT STREET",CANTON,IL,"61520",FULTON,"3096475240"
"100019",HOLMES REGIONAL MEDICAL CENTER,"1350 S HICKORY ST",MELBOURNE,FL,"32901",BREVARD,"3214347000"
"120001",THE QUEENS MEDICAL CENTER,"1301 PUNCHBOWL ST",HONOLULU,HI,"96813",HONOLULU,"8085389011"
"100224",UNIVERSITY HOSPITAL AND MEDICAL CENTER,"7201 N UNIVERSITY DR",TAMARAC,FL,"33321",BROWARD,"9547212200"
"111314",PIONEER COMMUNITY HOSPITAL OF EARLY,"11740 COLUMBIA STREET",BLAKELY,GA,"39823",EARLY,"2297234241"
"110054",FLOYD MEDICAL CENTER,"304 TURNER MCCALL BLVD P O BOX 233",ROME,GA,"30162",FLOYD,"7065096900"
"110038",JOHN D ARCHBOLD MEMORIAL HOSPITAL,"915 GORDON AVENUE & MIMOSA DRIVE",THOMASVILLE,GA,"31792",THOMAS,"2292282880"
"110191",PIEDMONT HENRY HOSPITAL,"1133 EAGLE'S LANDING PARKWAY",STOCKBRIDGE,GA,"30281",HENRY,"6786041000"
"103301",NICKLAUS CHILDREN'S HOSPITAL,"3100 SW 62ND AVE",MIAMI,FL,"33155",MIAMI-DADE,"3056666511"
"100122",NORTH OKALOOSA MEDICAL CENTER,"151 REDSTONE AVE SE",CRESTVIEW,FL,"32539",OKALOOSA,"8506898100"
"100124",SANTA ROSA MEDICAL CENTER,"6002 BERRYHILL RD",MILTON,FL,"32570",SANTA ROSA,"8506267762"
"100238",NORTHSIDE HOSPITAL,"6000 49TH ST N",SAINT PETERSBURG,FL,"33709",PINELLAS,"8135215000"
"70021",WINDHAM COMM MEM HOSP & HATCH HOSP,"112 MANSFIELD AVENUE",WILLIMANTIC,CT,"6226",WINDHAM,"8604569116"
"110042",WELLSTAR PAULDING HOSPITAL,"2518 JIMMY LEE SMITH PARKWAY",HIRAM,GA,"30141",PAULDING,"4706447000"
"110008",NORTHSIDE HOSPITAL CHEROKEE,"201 HOSPITAL ROAD",CANTON,GA,"30114",CHEROKEE,"7707205100"
"110200",NORTHSIDE MEDICAL CENTER,"100 FRIST COURT",COLUMBUS,GA,"31909",MUSCOGEE,"7064942100"
"100032",BAYFRONT HEALTH - ST PETERSBURG,"701 6TH ST S",SAINT PETERSBURG,FL,"33701",PINELLAS,"7278231234"
"111325",WILLS MEMORIAL HOSPITAL,"120 GORDON STREET",WASHINGTON,GA,"30673",WILKES,"7066789212"
"111335",LIBERTY REGIONAL MEDICAL CENTER,"462 E G MILES PARKWAY",HINESVILLE,GA,"31310",LIBERTY,"9123699438"
"100109",FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,"4200 SUN N LAKE BLVD",SEBRING,FL,"33871",HIGHLANDS,"8633144466"
"100118",FLORIDA HOSPITAL FLAGLER,"60 MEMORIAL MEDICAL PKWY",PALM COAST,FL,"32164",FLAGLER,"3865862000"
"100236",FAWCETT MEMORIAL HOSPITAL,"21298 OLEAN BLVD",PORT CHARLOTTE,FL,"33952",CHARLOTTE,"9416291181"
"130006",ST LUKE'S REGIONAL MEDICAL CENTER,"190 EAST BANNOCK STREET",BOISE,ID,"83712",ADA,"2083812222"
"140160",FHN MEMORIAL HOSPITAL,"1045 WEST STEPHENSON STREET",FREEPORT,IL,"61032",STEPHENSON,"8152354131"
"140011",HERRIN HOSPITAL,"201 S 14TH ST",HERRIN,IL,"62948",WILLIAMSON,"6189422171"
"130013",SAINT ALPHONSUS MEDICAL CENTER - NAMPA,"1512 TWELFTH AVENUE ROAD",NAMPA,ID,"83686",CANYON,"2084635000"
"140054",MACNEAL  HOSPITAL,"3249 SOUTH OAK PARK AVENUE",BERWYN,IL,"60402",COOK,"7087839100"
"131308",CASCADE MEDICAL CENTER,"402 LAKE CASCADE PARKWAY",CASCADE,ID,"83611",VALLEY,"2083824242"
"140240",WESTLAKE COMMUNITY HOSPITAL,"1225 LAKE ST",MELROSE PARK,IL,"60160",COOK,"7089384000"
"130025",MADISON MEMORIAL HOSPITAL,"450 EAST MAIN STREET",REXBURG,ID,"83440",MADISON,"2083596900"
"140030",SHERMAN HOSPITAL,"1425 NORTH RANDALL ROAD",ELGIN,IL,"60123",KANE,"8477429800"
"131301",BOUNDARY COMMUNITY HOSPITAL,"6640 KANIKSU STREET",BONNERS FERRY,ID,"83805",BOUNDARY,"2082674850"
"140182",ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,"836 WEST WELLINGTON AVENUE",CHICAGO,IL,"60657",COOK,"7739751600"
"140043",CGH MEDICAL CENTER,"100 EAST LEFEVRE ROAD",STERLING,IL,"61081",WHITESIDE,"8156250400"
"10001",SOUTHEAST ALABAMA MEDICAL CENTER,"1108 ROSS CLARK CIRCLE",DOTHAN,AL,"36301",HOUSTON,"3347938701"
"10103",PRINCETON BAPTIST MEDICAL CENTER,"701 PRINCETON AVENUE SOUTHWEST",BIRMINGHAM,AL,"35211",JEFFERSON,"2057833800"
"10056",ST VINCENT'S BIRMINGHAM,"810 ST VINCENT'S DRIVE",BIRMINGHAM,AL,"35205",JEFFERSON,"2059397000"
"10169",ATMORE COMMUNITY HOSPITAL,"401 MEDICAL PARK DRIVE",ATMORE,AL,"36502",ESCAMBIA,"2513682500"
"10109",PICKENS COUNTY MEDICAL CENTER,"241 ROBERT K WILSON DRIVE",CARROLLTON,AL,"35447",PICKENS,"2053678111"
"10090",PROVIDENCE HOSPITAL,"6801 AIRPORT BOULEVARD",MOBILE,AL,"36608",MOBILE,"2516331000"
"21303",SITKA COMMUNITY HOSPITAL,"209 MOLLER DRIVE",SITKA,AK,"99835",SITKA,"9077473241"
"30001",ABRAZO MARYVALE CAMPUS,"5102 WEST CAMPBELL AVENUE",PHOENIX,AZ,"85031",MARICOPA,"6238485000"
"21307",CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,"99574",,"9074248000"
"30030",ABRAZO CENTRAL CAMPUS,"2000 WEST BETHANY HOME ROAD",PHOENIX,AZ,"85015",MARICOPA,"6022490212"
"30122",BANNER GATEWAY MEDICAL CENTER,"1900 NORTH HIGLEY ROAD",GILBERT,AZ,"85234",MARICOPA,"4805432000"
"30077",SAN CARLOS APACHE HEALTHCARE,"103 MEDICINE WAY ROAD",PERIDOT,AZ,"85542",GILA,"9284751200"
"30132","FLORENCE HOSPITAL AT ANTHEM, LLC","4545 NORTH HUNT HIGHWAY",FLORENCE,AZ,"85132",PINAL,"5204242060"
"30107",ARIZONA SPINE AND JOINT HOSPITAL,"4620 EAST BASELINE ROAD",MESA,AZ,"85206",MARICOPA,"4808324770"
"30108","CORE INSTITUTE SPECIALTY HOSPITAL, THE","6501 NORTH 19TH AVENUE",PHOENIX,AZ,"85015",MARICOPA,"6027956020"
"40026",CHI ST. VINCENT HOSPITAL HOT SPRINGS,"300 WERNER STREET",HOT SPRINGS,AR,"71903",GARLAND,"5016221000"
"31301",BENSON HOSPITAL,"450 SOUTH OCOTILLO AVENUE",BENSON,AZ,"85602",COCHISE,"5205862261"
"40019",FORREST CITY MEDICAL CENTER,"1601 NEWCASTLE ROAD",FORREST CITY,AR,"72335",SAINT FRANCIS,"8702610000"
"40017",NORTH ARKANSAS REGIONAL MEDICAL CENTER,"620 NORTH MAIN STREET",HARRISON,AR,"72601",BOONE,"8704144000"
"40018",SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,"72956",CRAWFORD,"4794743401"
"40085",HELENA REGIONAL MEDICAL CENTER,"1801 MARTIN LUTHER KING JR DRIVE",HELENA,AR,"72342",PHILLIPS,"8703385800"
"40153",WADLEY REGIONAL MEDICAL CENTER AT HOPE,"2001 SOUTH MAIN",HOPE,AR,"71801",HEMPSTEAD,"8707223800"
"40067",MAGNOLIA HOSPITAL,"101 HOSPITAL DRIVE",MAGNOLIA,AR,"71754",COLUMBIA,"8702353000"
"41318",MERCY HOSPITAL BOONEVILLE,"880 WEST MAIN",BOONEVILLE,AR,"72927",LOGAN,"4796752800"
"41305",MERCY HOSPITAL WALDRON,"1341 WEST SIXTH STREET",WALDRON,AR,"72958",SCOTT,"4796374135"
"50009",QUEEN OF THE VALLEY MEDICAL CENTER,"1000 TRANCAS ST",NAPA,CA,"94558",NAPA,"7072524411"
"50018",PACIFIC ALLIANCE MEDICAL CENTER,"531 W COLLEGE ST",LOS ANGELES,CA,"90012",LOS ANGELES,"2136248411"
"50045",EL CENTRO REGIONAL MEDICAL CENTER,"1415 ROSS AVENUE",EL CENTRO,CA,"92243",IMPERIAL,"7603397100"
"50071",KAISER FOUNDATION HOSPITAL-SANTA CLARA,"700 LAWRENCE EXPRESSWAY",SANTA CLARA,CA,"95051",SANTA CLARA,"4082366400"
"50126",VALLEY PRESBYTERIAN HOSPITAL,"15107 VANOWEN ST",VAN NUYS,CA,"91406",LOS ANGELES,"8187826600"
"51307",CATALINA ISLAND MEDICAL CENTER,"100 FALLS CANYON ROAD",AVALON,CA,"90704",LOS ANGELES,"3105100700"
"50727",COMMUNITY HOSPITAL OF LONG BEACH,"1720 TERMINO AVENUE",LONG BEACH,CA,"90804",LOS ANGELES,"5624940600"
"50226",AHMC ANAHEIM REGIONAL MEDICAL CENTER,"1111 W LA PALMA AVENUE",ANAHEIM,CA,"92801",ORANGE,"7147741450"
"50239",GLENDALE ADVENTIST MEDICAL CENTER,"1509 E WILSON TERRACE",GLENDALE,CA,"91206",LOS ANGELES,"8184098202"
"50309",SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,"95661",PLACER,"9167811000"
"50382",CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,"210 W  SAN BERNARDINO ROAD",COVINA,CA,"91723",LOS ANGELES,"6268142468"
"50149",CALIFORNIA HOSPITAL MEDICAL CENTER LA,"1401 SOUTH GRAND AVENUE",LOS ANGELES,CA,"90015",LOS ANGELES,"2137482411"
"50423",PALO VERDE HOSPITAL,"250 NORTH FIRST STREET",BLYTHE,CA,"92225",RIVERSIDE,"7609224115"
"50723",KAISER FOUNDATION HOSPITAL - BALDWIN PARK,"1011 BALDWIN PARK BLVD",BALDWIN PARK,CA,"91706",LOS ANGELES,"6268511011"
"50599",UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,"2315 STOCKTON BOULEVARD",SACRAMENTO,CA,"95817",SACRAMENTO,"9167342011"
"50604",KAISER FOUNDATION HOSPITAL-SAN JOSE,"250 HOSPITAL PARKWAY",SAN JOSE,CA,"95119",SANTA CLARA,"4089727000"
"50425",KAISER FOUNDATION HOSPITAL - SACRAMENTO,"2025 MORSE AVENUE",SACRAMENTO,CA,"95825",SACRAMENTO,"9169735000"
"50152",SAINT FRANCIS MEMORIAL HOSPITAL,"900 HYDE ST",SAN FRANCISCO,CA,"94109",SAN FRANCISCO,"4153536000"
"50704",MISSION COMMUNITY HOSPITAL,"14850 ROSCOE BLVD",PANORAMA CITY,CA,"91402",LOS ANGELES,"8189043100"
"100299",LAKEWOOD RANCH MEDICAL CENTER,"8330 LAKEWOOD RANCH BLVD",BRADENTON,FL,"34202",MANATEE,"9417822100"
"100307",ST VINCENT'S MEDICAL CENTER SOUTHSIDE,"4201 BELFORT RD",JACKSONVILLE,FL,"32216",DUVAL,"9042963700"
"50438",HUNTINGTON MEMORIAL HOSPITAL,"100 W  CALIFORNIA BLVD",PASADENA,CA,"91109",LOS ANGELES,"6263975000"
"50441",STANFORD HEALTH CARE,"300 PASTEUR DRIVE",STANFORD,CA,"94305",SANTA CLARA,"6507235708"
"50717",LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,"7601 EAST IMPERIAL HIGHWAY",DOWNEY,CA,"90242",LOS ANGELES,"5624017022"
"50204",PALMDALE REGIONAL MEDICAL CENTER,"38600 MEDICAL CENTER DRIVE",PALMDALE,CA,"93552",LOS ANGELES,"6613825000"
"50329",CORONA REGIONAL MEDICAL CENTER,"800 SOUTH MAIN STREET",CORONA,CA,"92882",RIVERSIDE,"9517374343"
"50367",NORTHBAY MEDICAL CENTER,"1200 B  GALE WILSON BLVD",FAIRFIELD,CA,"94533",SOLANO,"7076465000"
"110124",WAYNE MEMORIAL HOSPITAL,"865 SOUTH FIRST STREET",JESUP,GA,"31545",WAYNE,"9125303302"
"50454",UCSF MEDICAL CENTER,"505 PARNASSUS AVE, BOX 0296",SAN FRANCISCO,CA,"94143",SAN FRANCISCO,"4153532733"
"50737",GARFIELD MEDICAL CENTER,"525 N GARFIELD AVE",MONTEREY PARK,CA,"91754",LOS ANGELES,"6265732222"
"60054",COMMUNITY HOSPITAL,"2351 G RD",GRAND JUNCTION,CO,"81505",MESA,"9702566201"
"50772",KAISER FOUNDATION HOSPITAL - ROSEVILLE,"1600 EUREKA ROAD",ROSEVILLE,CA,"95661",PLACER,"9167844000"
"50776",COLLEGE MEDICAL CENTER,"2776 PACIFIC AVENUE",LONG BEACH,CA,"90806",LOS ANGELES,"5625951911"
"50557",MEMORIAL MEDICAL CENTER,"1700 COFFEE RD",MODESTO,CA,"95355",STANISLAUS,"2095264500"
"60004",PLATTE VALLEY MEDICAL CENTER,"1600 PRAIRIE CENTER PARKWAY",BRIGHTON,CO,"80601",ADAMS,"3034981601"
"61309",WRAY COMMUNITY DISTRICT HOSPITAL,"1017 W 7TH ST",WRAY,CO,"80758",YUMA,"9703324811"
"51334",OJAI VALLEY COMMUNITY HOSPITAL,"1306 MARICOPA HWY",OJAI,CA,"93023",VENTURA,"8056402280"
"51325",MENDOCINO COAST DISTRICT HOSPITAL,"700 RIVER DR",FORT BRAGG,CA,"95437",MENDOCINO,"7079611234"
"51314",KERN VALLEY HEALTHCARE DISTRICT,"6412 LAUREL AVE",LAKE ISABELLA,CA,"93240",KERN,"7603792681"
"60010",POUDRE VALLEY HOSPITAL,"1024 S LEMAY AVE",FORT COLLINS,CO,"80524",LARIMER,"9704957000"
"53301",CHILDREN'S HOSPITAL & RESEARCH CENTER OAKLAND,"747 52ND STREET",OAKLAND,CA,"94609",ALAMEDA,"5104283000"
"60096",VAIL VALLEY MEDICAL CENTER,"181 W MEADOW DRIVE",VAIL,CO,"81657",EAGLE,"9704762451"
"60013",MERCY REGIONAL MEDICAL CENTER,"1010 THREE SPRINGS BLVD",DURANGO,CO,"81301",LA PLATA,"9702474311"
"50767",KAISER FOUNDATION HOSPITAL - VACAVILLE,"1 QUALITY DRIVE",VACAVILLE,CA,"95688",SOLANO,"7076244000"
"50573",EISENHOWER MEDICAL CENTER,"39-000 BOB HOPE DRIVE",RANCHO MIRAGE,CA,"92270",RIVERSIDE,"7603403911"
"50135",SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,"6245 DE LONGPRE AVE",HOLLYWOOD,CA,"90028",LOS ANGELES,"3234622271"
"51328",TAHOE FOREST HOSPITAL,"10121 PINE AVE",TRUCKEE,CA,"96161",NEVADA,"5305876011"
"51318",REDWOOD MEMORIAL HOSPITAL,"3300 RENNER DRIVE",FORTUNA,CA,"95540",HUMBOLDT,"7074458121"
"50771",COAST PLAZA HOSPITAL,"13100 STUDERBAKER ROAD",NORWALK,CA,"90650",LOS ANGELES,"3103560550"
"100154",SOUTH MIAMI HOSPITAL,"6200 SW 73RD ST",SOUTH MIAMI,FL,"33143",MIAMI-DADE,"7866624000"
"131320",CLEARWATER VALLEY HOSPITAL & CLINICS,"301 CEDAR STREET",OROFINO,ID,"83544",CLEARWATER,"2084764555"
"140088",THE UNIVERSITY OF CHICAGO MEDICAL CENTER,"5841 SOUTH MARYLAND",CHICAGO,IL,"60637",COOK,"7737021000"
"100128",TAMPA GENERAL HOSPITAL,"1 TAMPA GENERAL CIR",TAMPA,FL,"33606",HILLSBOROUGH,"8138447000"
"100127",MORTON PLANT HOSPITAL,"300 PINELLAS ST",CLEARWATER,FL,"33756",PINELLAS,"7274627000"
"100240",ANNE BATES LEACH EYE HOSPITAL,"900 NW 17TH ST",MIAMI,FL,"33136",MIAMI-DADE,"3053266000"
"100286",PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,"6101 PINE RIDGE ROAD",NAPLES,FL,"34119",COLLIER,"2393484000"
"100290","VILLAGES REGIONAL HOSPITAL, THE","1451 EL CAMINO REAL",THE VILLAGES,FL,"32159",SUMTER,"3527518000"
"100244",CAPE CORAL HOSPITAL,"636 DEL PRADO BLVD",CAPE CORAL,FL,"33990",LEE,"2395742323"
"100296",DOCTORS HOSPITAL,"5000 UNIVERSITY DR",CORAL GABLES,FL,"33146",MIAMI-DADE,"3056662111"
"80006",NANTICOKE MEMORIAL HOSPITAL,"801 MIDDLEFORD RD",SEAFORD,DE,"19973",SUSSEX,"3026296611"
"80009",BAYHEALTH - MILFORD MEMORIAL HOSPITAL,"21 WEST CLARKE AVENUE",MILFORD,DE,"19963",SUSSEX,"3024223311"
"100063",MORTON PLANT NORTH BAY HOSPITAL,"6600 MADISON ST",NEW PORT RICHEY,FL,"34652",PASCO,"7278428468"
"140100",MIDWESTERN REGION MED CENTER,"2520 ELISHA AVENUE",ZION,IL,"60099",LAKE,"8478724561"
"83300",ALFRED I DUPONT HOSPITAL FOR CHILDREN,"1600 ROCKLAND RD PO BOX 269",WILMINGTON,DE,"19899",NEW CASTLE,"3026514000"
"100006",ORLANDO HEALTH,"52 W UNDERWOOD ST",ORLANDO,FL,"32806",ORANGE,"3218438000"
"121307",HALE HO'OLA HAMAKUA,"45-547 PLUMERIA STREET",HONOKAA,HI,"96727",HAWAII,"8089324100"
"121306",SAMUEL MAHELONA MEMORIAL HOSPITAL,"4800 KAWAIHAU ROAD",KAPAA,HI,"96746",KAUAI,"8088224961"
"131325",BINGHAM MEMORIAL HOSPITAL,"98 POPLAR STREET",BLACKFOOT,ID,"83221",BINGHAM,"2087853804"
"100209",KENDALL REGIONAL MEDICAL CENTER,"11750 BIRD RD",MIAMI,FL,"33175",MIAMI-DADE,"3052233000"
"100134",ED FRASER MEMORIAL HOSPITAL,"159 N 3RD ST",MACCLENNY,FL,"32063",BAKER,"9042593151"
"100072",FLORIDA HOSPITAL FISH MEMORIAL,"1055 SAXON BLVD",ORANGE CITY,FL,"32763",VOLUSIA,"3869175000"
"100211",BAYFRONT HEALTH DADE CITY,"13100 FT KING RD",DADE CITY,FL,"33525",PASCO,"3525683174"
"140113",PRESENCE COVENANT MEDICAL CENTER,"1400 WEST PARK AVENUE",URBANA,IL,"61801",CHAMPAIGN,"2173372000"
"140187",ST ELIZABETH HOSPITAL,"211 S THIRD ST",BELLEVILLE,IL,"62220",SAINT CLAIR,"6182342120"
"121301",KAU HOSPITAL,"1 KAMANI STREET",PAHALA,HI,"96777",HAWAII,"8089288331"
"90006",PROVIDENCE HOSPITAL,"1150 VARNUM ST NE",WASHINGTON,DC,"20017",DISTRICT OF COLUMBIA,"2022697000"
"110035",WELLSTAR KENNESTONE HOSPITAL,"677 CHURCH STREET",MARIETTA,GA,"30060",COBB,"7707935000"
"101309",HENDRY REGIONAL MEDICAL CENTER,"524 W SAGAMORE AVE",CLEWISTON,FL,"33440",HENDRY,"8639023033"
"110089",COFFEE REGIONAL MEDICAL CENTER,"1101 OCILLA ROAD",DOUGLAS,GA,"31533",COFFEE,"9123835620"
"100223",FORT WALTON BEACH MEDICAL CENTER,"1000 MAR-WALT DR",FORT WALTON BEACH,FL,"32547",OKALOOSA,"8508621111"
"111316",WARM SPRINGS MEDICAL CENTER,"5995 SPRING STREET",WARM SPRINGS,GA,"31830",MERIWETHER,"7066559351"
"111330",POLK MEDICAL CENTER,"2360 ROCKMART HIGHWAY",CEDARTOWN,GA,"30125",POLK,"7707482500"
"110064",MIDTOWN MEDICAL CENTER,"710 CENTER ST BOX 951",COLUMBUS,GA,"31901",MUSCOGEE,"7065711000"
"110006",ST MARY'S HOSPITAL,"1230 BAXTER STREET",ATHENS,GA,"30606",CLARKE,"7063893930"
"100028",PARRISH MEDICAL CENTER,"951 N WASHINGTON AVE",TITUSVILLE,FL,"32796",BREVARD,"3212686111"
"110146",SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,"2000 DAN PROCTOR DRIVE",SAINT MARYS,GA,"31558",CAMDEN,"9125766401"
"101312",FISHERMEN'S HOSPITAL,"3301 OVERSEAS HWY",MARATHON,FL,"33050",MONROE,"3057435533"
"100255",TAMPA COMMUNITY HOSPITAL,"6001 WEBB RD",TAMPA,FL,"33615",HILLSBOROUGH,"8138827159"
"100232",PUTNAM COMMUNITY MEDICAL CENTER,"611 ZEAGLER DR",PALATKA,FL,"32177",PUTNAM,"3863268500"
"70020",MIDDLESEX HOSPITAL,"28 CRESCENT ST",MIDDLETOWN,CT,"6457",MIDDLESEX,"8603446000"
"70024",WILLIAM W BACKUS HOSPITAL,"326 WASHINGTON ST",NORWICH,CT,"6360",NEW LONDON,"8608898331"
"110075",EAST GEORGIA REGIONAL MEDICAL CENTER,"1499 FAIR ROAD",STATESBORO,GA,"30458",BULLOCH,"9124861500"
"101304",CALHOUN-LIBERTY HOSPITAL,"20370 NE BURNS AVE",BLOUNTSTOWN,FL,"32424",CALHOUN,"8506743493"
"101307",DOCTORS MEMORIAL HOSPITAL,"2600 HOSPITAL DR",BONIFAY,FL,"32425",HOLMES,"8505471120"
